ImageNumber	ObjectNumber	FileName_CellLabels	FileName_DNA	FileName_NucleiLabels	FileName_PLA	FileName_PLALabels	PathName_CellLabels	PathName_DNA	PathName_NucleiLabels	PathName_PLA	PathName_PLALabels	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	Children_PLA_dots_Count	Location_Center_X	Location_Center_Y
3	1	Well_3_C0_cells_labels.tiff	Well_3_C0.tif	Well_3_C0_nuclei_labels.tiff	Well_3_C1.tif	Well_3_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	3543	8.197.967.823.878.060	2.207.902.907.140.840	0	8.197.967.823.878.060	2.207.902.907.140.840
3	2	Well_3_C0_cells_labels.tiff	Well_3_C0.tif	Well_3_C0_nuclei_labels.tiff	Well_3_C1.tif	Well_3_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	7242	4.491.746.755.040.040	16.748.342.999.171.400	0	4.491.746.755.040.040	16.748.342.999.171.400
3	3	Well_3_C0_cells_labels.tiff	Well_3_C0.tif	Well_3_C0_nuclei_labels.tiff	Well_3_C1.tif	Well_3_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	3265	22.182.021.439.509.900	18.983.215.926.493.100	0	22.182.021.439.509.900	18.983.215.926.493.100
3	4	Well_3_C0_cells_labels.tiff	Well_3_C0.tif	Well_3_C0_nuclei_labels.tiff	Well_3_C1.tif	Well_3_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	7900	3.863.772.151.898.730	2.158.206.329.113.920	1	3.863.772.151.898.730	2.158.206.329.113.920
3	5	Well_3_C0_cells_labels.tiff	Well_3_C0.tif	Well_3_C0_nuclei_labels.tiff	Well_3_C1.tif	Well_3_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	4645	1.441.864.370.290.630	20.109.644.779.332.600	0	1.441.864.370.290.630	20.109.644.779.332.600
3	6	Well_3_C0_cells_labels.tiff	Well_3_C0.tif	Well_3_C0_nuclei_labels.tiff	Well_3_C1.tif	Well_3_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	4697	2.855.369.384.713.640	1.992.544.177.134.340	0	2.855.369.384.713.640	1.992.544.177.134.340
3	7	Well_3_C0_cells_labels.tiff	Well_3_C0.tif	Well_3_C0_nuclei_labels.tiff	Well_3_C1.tif	Well_3_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	11279	2.638.936.075.893.250	2.790.392.765.316.070	1	2.638.936.075.893.250	2.790.392.765.316.070
3	8	Well_3_C0_cells_labels.tiff	Well_3_C0.tif	Well_3_C0_nuclei_labels.tiff	Well_3_C1.tif	Well_3_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	6913	16.072.631.274.410.500	256.299.001.880.515	0	16.072.631.274.410.500	256.299.001.880.515
3	9	Well_3_C0_cells_labels.tiff	Well_3_C0.tif	Well_3_C0_nuclei_labels.tiff	Well_3_C1.tif	Well_3_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	7038	4.041.219.096.334.180	2.767.200.909.349.240	0	4.041.219.096.334.180	2.767.200.909.349.240
3	10	Well_3_C0_cells_labels.tiff	Well_3_C0.tif	Well_3_C0_nuclei_labels.tiff	Well_3_C1.tif	Well_3_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	3615	1.938.475.795.297.370	30.786.362.378.976.400	0	1.938.475.795.297.370	30.786.362.378.976.400
